Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0044262~cellular carbohydrate metabolic process	7	8.641975308641975	0.002943001031185644	GCNT3, FUT9, SORD, GCK, GMDS, B3GNT6, PDK4	63	327	14219	4.831464492014951	0.8691449059366616	0.8691449059366616	4.3392488006210765
GOTERM_BP_ALL	GO:0005975~carbohydrate metabolic process	8	9.876543209876543	0.0034900160218692875	GCNT3, FUT9, SORD, GCK, GMDS, B3GNT6, PDK4, ITIH2	63	454	14219	3.9770645409411927	0.9103931069802602	0.7006558952981706	5.126152469929169
GOTERM_BP_ALL	GO:0055114~oxidation reduction	9	11.11111111111111	0.008468721999828661	RDH12, FAR1, ALDH1L1, SORD, HSD17B2, CYP2S1, MAOB, CYP4B1, KDM5D	63	672	14219	3.022746598639456	0.9971723291021011	0.8585912486669224	12.015574199892464
GOTERM_BP_ALL	GO:0009101~glycoprotein biosynthetic process	4	4.938271604938271	0.014440799008281833	GCNT3, FUT9, B3GNT6, A4GNT	63	117	14219	7.716185049518383	0.9999562402751943	0.9186666528228745	19.663117691076625
GOTERM_BP_ALL	GO:0044255~cellular lipid metabolic process	7	8.641975308641975	0.018222207293396665	RDH12, ACSM3, FAR1, PLA2G10, ANG, SMPD3, PLA2G2F	63	482	14219	3.2777777777777777	0.9999969160238477	0.9209645005243798	24.179578960163195
GOTERM_BP_ALL	GO:0009100~glycoprotein metabolic process	4	4.938271604938271	0.026274282213975583	GCNT3, FUT9, B3GNT6, A4GNT	63	147	14219	6.141453406759529	0.9999999894977577	0.9532034677029109	33.0187427946125
GOTERM_BP_ALL	GO:0045410~positive regulation of interleukin-6 biosynthetic process	2	2.4691358024691357	0.03013243622842545	EREG, TLR1	63	7	14219	64.48526077097505	0.9999999993214527	0.9509966534946188	36.90407743673412
GOTERM_BP_ALL	GO:0006629~lipid metabolic process	8	9.876543209876543	0.031152179522590834	RDH12, ACSM3, FAR1, PLA2G10, HSD17B2, ANG, SMPD3, PLA2G2F	63	696	14219	2.594234628717387	0.999999999671647	0.9347556933715824	37.895265717822326
GOTERM_BP_ALL	GO:0008152~metabolic process	39	48.148148148148145	0.039385190329813885	GNA14, GCNT3, ALPI, FUT9, ALDH1L1, SORD, HSD17B2, CYP2S1, ADAMTS15, INSRR, FAR1, GSTM3, ANG, B3GNT6, PDE8B, ITIH2, A4GNT, CAR2, KDM5D, MAF, POU2AF1, GMDS, PLA2G10, PTPRN2, CAPN8, PDK4, MAOB, PIM3, MMP15, CYP4B1, RDH12, ACSM3, ATP2C2, EREG, GCK, BACE2, CAR8, SMPD3, PLA2G2F	63	7020	14219	1.2538800705467372	0.9999999999990901	0.9540684290796453	45.381565851727515
GOTERM_BP_ALL	GO:0045408~regulation of interleukin-6 biosynthetic process	2	2.4691358024691357	0.055247886054862264	EREG, TLR1	63	13	14219	34.72283272283272	1.0	0.9801877776971661	57.489594799961516
GOTERM_BP_ALL	GO:0006486~protein amino acid glycosylation	3	3.7037037037037033	0.05981961478544629	GCNT3, FUT9, B3GNT6	63	91	14219	7.440607012035582	1.0	0.9791257548157897	60.48278642108473
GOTERM_BP_ALL	GO:0070085~glycosylation	3	3.7037037037037033	0.05981961478544629	GCNT3, FUT9, B3GNT6	63	91	14219	7.440607012035582	1.0	0.9791257548157897	60.48278642108473
GOTERM_BP_ALL	GO:0043413~biopolymer glycosylation	3	3.7037037037037033	0.05981961478544629	GCNT3, FUT9, B3GNT6	63	91	14219	7.440607012035582	1.0	0.9791257548157897	60.48278642108473
GOTERM_BP_ALL	GO:0048145~regulation of fibroblast proliferation	2	2.4691358024691357	0.08374128461042746	NUPR1, EREG	63	20	14219	22.56984126984127	1.0	0.9934530078189016	73.18899586251828
GOTERM_BP_ALL	GO:0048660~regulation of smooth muscle cell proliferation	2	2.4691358024691357	0.08374128461042746	EREG, ANG	63	20	14219	22.56984126984127	1.0	0.9934530078189016	73.18899586251828
GOTERM_BP_ALL	GO:0006730~one-carbon metabolic process	3	3.7037037037037033	0.09234313215693891	ALDH1L1, CAR8, CAR2	63	117	14219	5.787138787138787	1.0	0.9941573051093755	76.73754628307587
