#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
C14orf1	uc007ohf.1	10.3665225083852	10.1963450877405	9.52753137872076	10.397967631634	10.5760813938115	9.66340600737777
KIAA0141	uc008erz.2	10.1606169332645	9.40010784360838	9.69640904203068	9.35891813297805	9.41572092921447	9.47565412026521
C17orf49	uc007juf.2	10.8966416009633	10.873703057281	10.340831490845	10.7761076767478	10.7782090571188	10.5124616855238
C2orf68	uc009cig.2	10.1803286907585	10.4766138060696	10.4285497066394	10.4325733279008	10.4129218669475	10.3829979917303
C1orf123	uc008uam.1	8.79429075091155	8.63820861135776	8.34310570986369	8.42532790120877	8.65510396762481	8.37012102459726
C4orf19	uc008xmg.1	11.0474261351924	10.9329661629916	10.9258786559177	10.8053604555406	10.8011761743568	10.2959440751795
C21orf59	uc007zwt.2	8.5957065880424	8.80738832324512	7.85736177658475	8.54341320055083	8.63114481094651	7.77702376155605
C11orf58	uc009jix.1	9.98449719356457	10.0334403757591	9.77897237708354	10.0510731658167	9.85581357582163	10.0781889018346
C20orf24	uc008noc.2	10.7529330000944	10.8666152426676	9.95080312323046	10.9026747399236	10.8233176032157	10.2280817519505
CXorf40A	uc009tjf.1	8.59111676320896	8.49152613037957	8.08141602791426	8.52914922255301	8.27810777167548	7.61594207687521
C11orf1	uc009pkp.1	9.12474682919479	9.07506136043665	8.83460297071252	9.06301998932986	8.80690842393898	8.72904037660635
C20orf196	uc012cet.1	7.46926691349038	7.15214253236862	6.84482205144584	7.09296091217686	7.28531714411682	6.17832522864697
KIAA1429	uc008rzp.1	10.3898235971841	10.2306427817181	10.4126640595389	10.3689588446004	10.2811031569286	10.4809719444508
C9orf85	uc008gyz.1	10.5551293364634	10.4523171422892	10.7301502161649	10.8616584184307	10.7610292260954	10.7482733447301
C3orf58	uc009rax.1	9.51825500577254	9.69524445208047	9.59364391847021	9.78763699665118	9.93880651527701	10.356287904239
C19orf12	uc009gks.1	11.0527641285344	11.368973691397	11.0875591536425	11.5870696730167	10.8734168017802	11.8977192969809
