"Gene"	"Transcript"	"Best.transcript"	"Log2.ratio"	"FDR"	"Ctrl462"	"Ctrl1850"	"Ctrl18294"	"Mut1847"	"Mut1088"	"Mut20699"
"Pkhd1"	"uc007akv.1"	1	-2.60578052171699	0.000923318763126472	7.73981569110172	7.88611685405006	7.00984691056819	5.37533506942036	5.60804555928266	3.6853911853689
"Nppc"	"uc007bvt.1"	1	3.92168000539249	0.0166690536880822	0	0	0	5.06970584525698	5.8106687836741	2.10759566861063
"Alpi"	"uc007bwa.1"	1	2.49521569579228	8.03585829898977e-06	11.1530530534372	10.4909571864118	10.8311433205325	13.3142193349997	13.7530108065603	12.3565337329779
"Ramp1"	"uc007bzx.2"	1	-1.57936220597272	0.00543012961226852	9.80228667305409	9.45340958691783	9.50612052624151	8.19871018486051	7.41360199567606	8.45677319494851
"Slc45a3"	"uc007cnz.1"	1	-2.44836020797106	4.19469456810558e-07	8.99126469762934	9.16452115693777	9.0526072433518	6.46772635943345	6.72824284725142	6.76432592665551
"Lmx1a"	"uc007dlc.1"	1	-4.4073020055208	1.63617818014582e-05	6.27971196151626	5.77649304349077	5.17162439940456	1.797040311211	0	0
"Itln1"	"uc007doq.1"	1	-3.23518136534412	0.00297686686197758	8.1157179315065	6.52291069119067	9.90169517866073	5.44087093725328	6.11133108989686	4.83269331573733
"Rgs17"	"uc007egh.2"	1	-4.60704971259906	4.49821469914762e-07	9.79081374388601	9.438346392924	10.4475793269526	4.29856421633106	2.53716042659793	6.37125118426678
"Samd5"	"uc007eiw.1"	1	-2.75371639351961	0.00985188269542761	7.48428520588574	6.21430464319302	7.86433106091105	3.9643187451138	4.41639514603539	4.78287553735153
"Vnn1"	"uc007eqc.2"	1	2.37107771613285	0.00170520386985217	9.1065640244076	8.82201233877037	8.3681141950739	10.9040258964239	11.9020609334586	9.46989994273659
"Fabp7"	"uc007fct.1"	1	3.76712280662865	0.00202810011920228	0	2.62717530235616	1.07864367792527	6.34583938779155	5.8106687836741	3.78246804028786
"Ggt1"	"uc007fqp.1"	1	3.2791982893083	0.000529402088004085	8.96149803861507	7.93347656483008	7.30847501160705	11.6768127593989	12.0621242596824	8.75318012572649
"Nav3"	"uc007gzl.1"	1	3.55934841431557	0.00101129415612066	4.12170170995645	2.62717530235616	2.90246312766689	7.23259327853835	7.32975754032137	4.64673931447381
"Lyz2"	"uc007hda.1"	1	1.55522907422975	0.00252213262277703	9.44694877177961	9.98788276559474	10.6296591998879	11.8977192969809	11.3592411462268	11.4677122627161
"Slc35e3"	"uc007hdn.1"	1	-2.64439643933937	3.18182067631766e-07	9.52894417212323	9.86380893751653	8.71996648588481	7.21667312948982	6.62626055762578	6.74826163592541
"Gck"	"uc007hxn.1"	1	3.33138846227911	8.72457305966759e-05	3.05151077047267	3.13890012044006	3.14588884585938	6.57009800452327	6.40024130921864	6.12017668860516
"2210407C18Rik"	"uc007jbw.2"	1	-1.75736997195025	0.00525187754901591	9.27352986889263	9.86989557344473	8.78737312845937	8.19871018486051	7.65469409765833	6.92404453685932
"Dnahc9"	"uc007jlg.1"	1	2.78456807220148	0.0135115865598457	3.6961093916465	1.93036442346524	3.14588884585938	5.76043688094558	5.55385944155728	6.03395365753556
"Rpl26"	"uc007joi.1"	1	4.88786322695124	7.1528819674351e-05	4.9642953513676	5.54601814309023	3.4946061799025	5.22874362517495	9.57996263844123	10.489551653393
"Cxcl16"	"uc007juw.1"	1	1.46577070436366	0.0193600724542353	7.48428520588574	8.09795338098603	8.46662435255664	9.80428257038933	9.18991665641372	9.32070995321999
"AK078931"	"uc007kky.1"	1	-3.26004296581097	0.0011332611354464	7.59561575812983	7.36161085794444	5.62960127643584	4.29856421633106	2.53716042659793	3.6853911853689
"Ccl6"	"uc007kpm.1"	1	-1.92768399263442	2.29601958454692e-05	13.3679142177241	12.8209913373129	13.2729626009398	10.8294779454393	11.0154441077426	12.1301494536598
"Wnt3"	"uc007lvs.2"	1	3.27961836078599	0.00940707862764043	0	0	1.83862249439275	4.69237038637236	5.43108281276216	4.1549896115957
"Slc26a4"	"uc007nho.1"	1	3.51000577274911	0.000111781176589788	3.05151077047267	2.62717530235616	4.02007525544666	6.65133315357944	7.37244305612135	6.67866776174494
"Coch"	"uc007nms.2"	1	2.18515842092943	0.0134616483594413	6.77236596232259	4.88177576808509	5.75694005381035	7.83250593683397	8.21437428776342	8.1904921747437
"Foxa1"	"uc007nps.1"	1	-3.45634571483701	4.9549965313695e-21	10.5600899593407	10.7909552519145	10.4702227545523	7.12272716616282	7.27159047647071	7.3314102251778
"Chga"	"uc007oui.1"	1	-2.86746121387042	1.56165727978364e-12	12.2053762874372	11.8128422739467	11.6259396912251	8.98804404561451	9.47935057234703	8.99462126801869
"Ptprn2"	"uc007phx.2"	1	-1.72369987320929	0.006987078714247	11.5658114297559	10.2765996350038	11.5063481230272	9.04921204909854	9.11541311824737	10.3057206488723
"Akr1c14"	"uc007pji.1"	1	-1.86262367730316	2.75264287657378e-06	12.8966341778525	12.8351478055092	12.6790193711111	11.1442679330798	10.9185897425373	11.0130675324447
"Akr1c18"	"uc007pjj.1"	1	3.0678712110851	2.80098077735722e-09	7.65989080548603	6.4946448067438	6.49016857218208	10.3551916871416	9.33867294797263	10.0599499960013
"Gmds"	"uc007pzq.1"	1	-1.38331419593283	0.00776359077230975	12.6780487775054	12.0678127504195	12.1459630262894	10.9993221638165	11.1372380132267	10.9326067684818
"Zfp429"	"uc007ras.1"	1	-3.04623191038216	0.00664049009822926	6.77236596232259	5.39441637385955	7.32385898891182	3.78246804028786	3.89157455768868	3.06221043275465
"Hapln1"	"uc007rjf.2"	1	3.04583237163841	0.0044161548424844	7.38593505983297	5.39441637385955	5.41107852072724	9.18195649582026	10.1511551501222	6.96768060487209
"Acot12"	"uc007rka.1"	1	3.17064244796402	0.00257095244609988	5.13928151279046	3.74527391233524	3.65926126253831	6.3803997183482	6.72824284725142	8.1825007681665
"Pde8b"	"uc007rmd.2"	1	-1.35452715724599	0.00333031333207469	9.9373388662023	9.74141570497218	9.82181604564984	8.33031865565717	8.50620130946769	8.77482889492098
"Ang"	"uc007tmn.2"	1	-1.61943940189989	7.87895626296798e-05	9.62569831161519	9.90592091326827	9.73426464512188	8.13858157191334	8.22907245226295	8.24263025701426
"Rnase4"	"uc007tmo.2"	1	-1.50848660875051	0.00218935785410321	12.5696496946895	12.28583210024	12.784144819707	10.513742607719	10.8315809098584	11.8594304407237
"Fam167a"	"uc007uhr.2"	1	2.39886367365126	0.00232053241643902	5.79414914167926	4.77472110113455	4.73899636528623	7.42442299260286	7.50516402882385	7.30113696368413
"Pnoc"	"uc007uji.1"	1	6.18513997100245	2.29494061832361e-06	0	0	0	7.49443103859005	7.72691513633963	3.89065358525282
"Pcdh17"	"uc007utp.2"	1	3.93822239073714	0.00175127081906396	3.05151077047267	5.95759727501864	5.71638933774743	10.3522335333053	7.55752480239017	7.58845663256385
"Nov"	"uc007vrn.1"	1	-3.23149396678963	0.0181709392280804	11.1080515329673	9.68706099616559	10.451756070572	5.1519969341566	5.16435486443514	8.76816421306264
"Anxa13"	"uc007vtm.1"	1	-3.96203444382808	2.56663764822786e-13	9.31243989017807	8.75728623832191	10.2517791009178	5.96845596101514	6.03712587144429	4.70935894291005
"Gsdmc2"	"uc007vyy.1"	1	-2.94890325900688	2.66200564135235e-11	12.2139850623994	12.5939652220656	12.705105884874	10.0829000623481	9.74141570497218	8.71627039619798
"Gsdmc3"	"uc007vza.2"	1	-2.73182296457248	1.50804650146811e-07	9.3901094283362	10.4125873415369	10.9258786559177	8.07722083493398	7.92099617775323	6.55750381212988
"Gsdmc4"	"uc007vzc.1"	1	-3.33711952528139	2.53651092131272e-09	12.9429530050129	12.6467468629247	11.7110020927378	9.88482434631611	9.31297451667042	8.44455393792247
"Cyp2d10"	"uc007wzf.2"	1	-3.37940954276283	1.26023600672284e-14	9.4846581831167	10.0071618976415	9.40503789913541	6.6249858838965	6.56877763817469	5.76829184890023
"Cyp2d9"	"uc007wzg.2"	1	-3.21625264798528	1.81850512875702e-11	8.97329052750161	9.46795893191225	9.2288575305084	6.52291069119067	5.8106687836741	5.81039777855382
"Pla2g10"	"uc007ygi.1"	1	-2.21569388400321	1.63617818014582e-05	10.4742875812752	10.0199377436021	9.72748943391775	7.64154834130068	7.51713361416226	8.59307764646177
"Retnlb"	"uc007zju.1"	1	-3.17787264355529	9.53092016861101e-05	9.65801685882702	9.66240605173447	12.2940350428711	7.16937514678353	7.62981205372827	8.47855325461185
"Bace2"	"uc008ade.2"	1	-1.53876206548942	0.00158297650766865	10.9893833395174	10.243187452988	10.7166555927709	8.79884767250799	9.06111426599132	9.69720290614139
"Clps"	"uc008brf.1"	1	-5.95352746775326	4.57421243303602e-09	7.96242219617707	6.52291069119067	6.65499551183109	0	0	1.03534089374133
"Tff2"	"uc008bul.1"	1	-4.39479341589303	5.56656065918801e-05	6.73016730636277	7.15214253236862	4.95611321206836	0	3.37654835608825	0
"Sult1c2"	"uc008czu.1"	1	-4.01010289476911	6.39590668020933e-10	11.7246807555985	12.0206687052431	11.1432331601294	8.34398094846029	8.22907245226295	5.45457973935584
"Slc3a1"	"uc008dtl.1"	1	1.60749444029845	0.0141312735474169	11.9224484028455	11.5975531735033	11.3720170070989	13.5117358660218	13.4485388365235	12.51596031233
"Mkx"	"uc008dzp.2"	1	-1.72154500273954	0.00319285921229883	9.35790204067704	9.7784843050913	9.52753137872076	7.12272716616282	7.97089878034391	8.3771736979219
"AK220484"	"uc008eas.1"	1	-3.60238493721964	0.0117965179856798	5.51386417552771	3.96519603459628	6.0683562433686	0	1.81908052342301	1.79187768076034
"Aqp4"	"uc008edr.2"	1	-3.97126787418777	8.03585829898977e-06	11.0883299197232	10.0610779100565	13.3255241262574	7.49443103859005	7.25683786146099	8.98837684052477
"Gfra3"	"uc008ele.2"	1	3.09312852848554	5.63851972521405e-08	5.83975094367398	5.39441637385955	5.06970584525698	8.26350505598245	8.55321131935085	8.33329847171919
"Pqlc1"	"uc008fsy.2"	1	-1.36079641162227	0.00630650085615991	9.78067980164898	9.90089857828123	9.65777786177996	8.27323153360653	8.30433339156533	8.84915042732987
"Spnb3"	"uc008gan.1"	1	-2.0874890045883	0.00297686686197758	8.5649820068237	8.14222371897588	9.0526072433518	6.12017668860516	6.48645914926231	6.8476983516277
"Chrm1"	"uc008gmg.2"	1	-2.32097918885397	0.00714807561317106	8.84119068500339	8.1255209410589	9.14500007224346	5.37533506942036	6.18744928510092	7.14352178354601
"Gna14"	"uc008gwu.2"	1	-2.60636471359308	0.00630650085615991	8.65447438011889	7.84768413029877	10.0555627424906	5.92947792238526	5.914005366927	7.18620149283169
"Gcnt1"	"uc008gxn.2"	1	1.92890222510743	4.0079839878624e-05	9.89990267095679	10.4722151502129	9.71950062772489	11.7535663726465	12.3425380443097	11.7640234227143
"Slit1"	"uc008hmf.2"	1	2.91388088985092	0.00704615482116402	3.93856379026862	1.93036442346524	3.14588884585938	5.60485226579895	6.07346822385449	6.28214291102736
"Cubn"	"uc008ijz.1"	1	-3.76260635411733	8.91644163459234e-09	9.09115551043338	8.29347839343762	8.28934933255791	4.69237038637236	5.8106687836741	3.78246804028786
"Il1f9"	"uc008ioo.2"	1	4.10817261227876	0.0146597932143931	0	0	0	5.88707046133634	5.49720381631589	1.79187768076034
"Cytip"	"uc008jsi.1"	1	1.2849152285212	0.0146597932143931	8.42440385239005	8.30038867538076	8.49620850565994	9.87010300641371	9.74141570497218	9.28537448823363
"Neurod1"	"uc008kgt.1"	1	2.14405417085734	8.03585829898977e-06	7.09608028021688	7.25456007998017	6.67634643817709	9.14075250774671	8.80690842393898	9.31666427029671
"Bdnf"	"uc008lmk.1"	1	2.92924264507131	0.0051427812671027	3.37784634213167	1.93036442346524	2.33149126326214	5.4975287844591	5.85958779446061	5.22552668858305
"Svs2"	"uc008nub.2"	1	7.11977864378321	0.017159917292052	0	0	0	0	0	9.59681492982275
"Svs5"	"uc008nui.1"	1	7.34265066304775	0.0145020171198336	0	0	0	0	0	9.82870768558113
"Wfdc2"	"uc008nve.1"	1	-1.24246839060391	0.0196939773642349	10.3149402735317	10.511561213598	9.71950062772489	8.99987769183728	9.11541311824737	9.07432369290946
"Car2"	"uc008oqt.2"	1	-3.04933979853987	2.98978235966111e-10	14.8706818016695	14.6366012889142	14.545903278476	10.9783308443613	11.2563521193326	12.7393150878369
"Aadac"	"uc008piz.1"	1	2.52236385077296	9.6178587598248e-05	7.98753518850339	6.13956104872425	6.53347691438495	9.55896828152589	9.84338197055827	9.35612798680545
"Insrr"	"uc008psy.2"	1	-4.88876371112321	1.62470996957869e-10	8.30166634778711	8.03502171138932	9.3419677620446	1.797040311211	4.11809649301441	3.9758349975705
"Reg4"	"uc008qpq.1"	1	-3.49909748344181	6.59807180834637e-05	11.9805297039543	11.0515969889735	8.71996648588481	7.57511254219934	7.22117395425145	8.42604835231815
"Gstm1"	"uc008qxx.2"	1	-1.78890079516492	0.00678425473149565	11.5034168846819	10.6807921204278	11.0196661475591	8.53711436813024	9.00755566376436	10.2838770270895
"Pitx2"	"uc008rhx.1"	1	-4.41943256161228	0.0114908288471366	8.7057804127603	8.73965444833591	4.14020668783247	5.44087093725328	1.81908052342301	0
"Enpep"	"uc008rhy.1"	1	2.42851432794785	0.0149516854519851	8.99126469762934	8.93890234199885	11.0182432499546	12.1078230290814	13.0152362836276	10.6437484516442
"Car8"	"uc008rxv.1"	1	-2.58635396817764	2.0948326429839e-10	11.8223747329671	11.3081216575469	12.4377351097509	8.97912159893357	9.22786177650627	9.8516696512787
"Fut9"	"uc008sei.1"	1	-4.07093059628636	1.47203868576221e-05	6.39267479817302	6.52291069119067	7.21765959413271	2.48302206273401	1.81908052342301	2.62717530235616
"Spink4"	"uc008shy.1"	1	-1.93717819075527	0.00118213905453749	11.8778013198003	11.7763225367578	10.5206305194716	9.31685181745959	9.57403234444785	10.2280817519505
"AK157456"	"uc008tsu.1"	1	-2.91443060122098	0.0149875424584453	6.55037843688613	4.77472110113455	6.03712587144429	2.90056604657195	3.02633981704522	2.62717530235616
"Insl5"	"uc008txa.1"	1	-4.01105160084483	0.0197102062027727	4.9642953513676	3.13890012044006	6.18116014378511	0	0	1.03534089374133
"Cyp4b1"	"uc008ufc.1"	1	-2.48582207873636	2.0948326429839e-10	12.5115329185956	12.7503218231082	12.2440397908773	9.90493759232571	10.2487496982573	10.3057206488723
"Ftl2"	"uc008usb.1"	1	-4.72144256001483	0.0103140617976541	6.07935847251219	4.50794641767328	10.3900552236548	4.69237038637236	4.27617080584329	3.25044251451644
"Tekt2"	"uc008utf.1"	1	2.57015262259538	0.0145020171198336	3.6961093916465	4.16963730633402	1.83862249439275	5.79859607628825	5.99670504960177	5.61787091905787
"Laptm5"	"uc008uzu.1"	1	1.49942226427495	0.00714807561317106	8.21774983389759	8.86043022367214	8.86043022367214	10.4654036989595	10.2057212442746	9.46712988583493
"Pla2g2f"	"uc008vlf.2"	1	3.09213148424049	0.00830675666607766	5.64470396400034	5.31737042634196	5.23404582416192	6.65133315357944	7.05752222565622	9.63474276080306
"Slc34a2"	"uc008xlb.2"	1	3.10313260852228	6.39590668020933e-10	7.51873535494211	8.17368623860478	9.25684639026621	11.1781285448517	11.6024257125735	11.6523543323529
"Tlr1"	"uc008xmw.1"	1	-1.21710505056645	0.00704615482116402	10.5032781743704	10.9769021757813	10.9624308287704	9.76450839060204	9.47577888311321	9.73415747317574
"Ereg"	"uc008ybs.1"	1	2.70062388302022	4.59394485947938e-07	7.04394424518543	6.70555757665633	6.56325283803426	9.63105199150867	9.68302145546271	8.38921696202148
"Ephx4"	"uc008yme.1"	1	-2.82613070308151	0.00171971240445309	7.56536905643806	6.72824284725142	6.49016857218208	3.51416790265092	4.55025157762443	3.9758349975705
"Rasal1"	"uc008zhr.1"	1	2.54250751261246	0.0060580839546757	4.55025157762443	4.50794641767328	3.4946061799025	7.13868897153025	6.56877763817469	5.7262393034577
"Pdk4"	"uc009awk.1"	1	1.85718174050674	1.77903485842238e-07	9.32049024419765	9.54843939678193	9.70013264225825	11.2655094705789	11.4191722861306	11.4599328586722
"Trpv6"	"uc009bqc.2"	1	-3.96099923572202	0.00617276685456238	6.77236596232259	8.62671980165024	4.48461530644196	1.797040311211	4.55025157762443	2.8815288617797
"St3gal5"	"uc009chz.1"	1	-3.28649807503597	1.63617818014582e-05	8.9958318096253	8.8845458610235	7.18289132911157	5.44087093725328	4.78522013998897	5.57805722686214
"Lrrtm1"	"uc009cju.1"	1	-3.4860155902801	0.00883763459135172	7.45735789131774	6.09157699754141	4.14020668783247	2.48302206273401	2.53716042659793	2.8815288617797
"Aldh1l1"	"uc009cxm.1"	1	-2.10408590944068	0.00154572314370677	9.32704073900513	9.29005488846697	9.53486199532409	6.04570960505326	7.65469409765833	7.74665067637019
"Ethe1"	"uc009fqb.1"	1	-1.42749945937122	0.0105215601072574	13.8375150687331	13.8806146404691	13.2128811593794	12.4509516164056	12.134995242261	12.4694643459516
"Cd177"	"uc009fql.1"	1	-1.54849598440124	0.0168712458191818	12.3926235894207	11.267624413701	12.16079737792	10.1046431009212	11.0697881967727	10.1967186337115
"Cyp2s1"	"uc009fua.1"	1	-1.20378549494875	0.00512019014239245	11.4794222630856	11.5309688174027	12.0009919807749	10.525246017542	10.4719775207538	10.534501448601
"Sycn"	"uc009fzf.2"	1	-6.29573838209661	1.29761184795087e-32	10.4069421005447	9.75798045765511	10.852708045157	3.24459624169163	3.89157455768868	4.48461530644196
"Ffar2"	"uc009ggn.1"	1	-1.34376792934544	0.0193600724542353	9.0367004454362	9.00457065358897	9.46265514844735	7.71450153461545	8.16001656668695	7.66199930541523
"Abpd"	"uc009gik.1"	1	-4.51615476910012	0.00429643906013136	6.71277604663498	3.74527391233524	4.32290890342783	0	0	0
