Span-GenomeRelease	Span-Chromosome	Span-BeginBp	Span-EndBp	Span-Strand	Span-Score	Span-Name	GeneI	AbsDistanceBp	DistanceBp	Overlaps	Gene-GenomeRelease	Gene-Chromosome	Gene-BeginBp	Gene-EndBp	Gene-Strand	Gene-Score	Gene-Name	Span-Pvalue	Span-FDR	Span-ContentTag
mm9	chr1	3505053	3505300		0	chr1-3505053	1	156403	156403	yes	mm9	chr1	3204562	3661579	-	1	NM_001011874:Xkr4			
mm9	chr1	6277362	6277641		0	chr1-6277362	1	71910	-71910	no	mm9	chr1	6349411	6384812	+	1	NM_001195732:Fam150a			
mm9	chr1	6277362	6277641		0	chr1-6277362	2	72759	72759	no	mm9	chr1	6204742	6266185	+	1	NM_009826:Rb1cc1			
mm9	chr1	6614054	6614253		0	chr1-6614054	1	136842	136842	yes	mm9	chr1	6477311	6851021	+	1	NM_001244692:St18			
mm9	chr1	6614054	6614253		0	chr1-6614054	2	136842	136842	yes	mm9	chr1	6477311	6851021	+	1	NM_001244693:St18			
mm9	chr1	7492491	7492671		0	chr1-7492491														
mm9	chr1	9199004	9199185		0	chr1-9199004	1	90717	90717	yes	mm9	chr1	8352741	9289811	-	1	NM_027671:Sntg1			
mm9	chr1	9554199	9554371		0	chr1-9554199	1	16159	16159	yes	mm9	chr1	9538126	9568049	+	1	NR_027664:Adhfe1			
mm9	chr1	9554199	9554371		0	chr1-9554199	2	16159	16159	yes	mm9	chr1	9538126	9568049	+	1	NM_175236:Adhfe1			
mm9	chr1	9554199	9554371		0	chr1-9554199	3	18797	18797	no	mm9	chr1	9535488	9537536	+	1	NM_021511:Rrs1			
mm9	chr1	9554199	9554371		0	chr1-9554199	4	66888	66888	yes	mm9	chr1	9550913	9621173	-	1	NR_015470:2610203C22Rik			
mm9	chr1	9651333	9651506		0	chr1-9651333	1	30246	-30246	no	mm9	chr1	9550913	9621173	-	1	NR_015470:2610203C22Rik			
mm9	chr1	9651333	9651506		0	chr1-9651333	2	38871	38871	no	mm9	chr1	9658915	9690290	-	1	NM_008651:Mybl1			
mm9	chr1	10238102	10238312		0	chr1-10238102	1	15456	-15456	no	mm9	chr1	10127587	10222751	-	1	NM_001102430:Arfgef1			
mm9	chr1	13256555	13256766		0	chr1-13256555	1	107504	107504	yes	mm9	chr1	13129239	13364164	-	1	NM_008678:Ncoa2			
mm9	chr1	13256555	13256766		0	chr1-13256555	2	107504	107504	yes	mm9	chr1	13129239	13364164	-	1	NM_001077695:Ncoa2			
mm9	chr1	15621437	15621589		0	chr1-15621437	1	318981	318981	yes	mm9	chr1	15302532	15704295	+	1	NM_001098528:Kcnb2			
mm9	chr1	16218276	16218660		0	chr1-16218276														
mm9	chr1	16231243	16231415		0	chr1-16231243	1	278054	278054	yes	mm9	chr1	16218890	16509383	-	1	NM_025303:Stau2			
mm9	chr1	16231243	16231415		0	chr1-16231243	2	278054	278054	yes	mm9	chr1	16218890	16509383	-	1	NM_001111272:Stau2			
mm9	chr1	19883503	19883731		0	chr1-19883503														
mm9	chr1	20853869	20854113		0	chr1-20853869	1	26563	26563	no	mm9	chr1	20878730	20880554	-	1	NR_040492:6720483E21Rik			
mm9	chr1	20853869	20854113		0	chr1-20853869	2	26711	-26711	no	mm9	chr1	20880702	20928837	+	1	NM_028829:Paqr8			
mm9	chr1	21218838	21219040		0	chr1-21218838	1	10228	10228	yes	mm9	chr1	21208711	21220248	+	1	NM_029398:Tmem14a			
mm9	chr1	21218838	21219040		0	chr1-21218838	2	11730	-11730	no	mm9	chr1	21230669	21255640	+	1	NM_010356:Gsta3			
mm9	chr1	21218838	21219040		0	chr1-21218838	3	11730	-11730	no	mm9	chr1	21230669	21255640	+	1	NM_001077353:Gsta3			
