Gene	Transcript	Best.transcript	Log2.ratio	FDR	Ctrl462	Ctrl1850	Ctrl18294	Mut1847	Mut1088	Mut20699	Chromosome	Begin	End	GeneDistance	GeneBegin	GeneEnd	RefSeq
2010110P09Rik	uc009jos.1	1	1.47691829870288	0.00264896982075624	10.5705572750476	9.72142000097642	10.8073015177722	11.9089535368705	11.8819167001293	11.8718787389916	chr7	129347565	129347767	-15343	129363009	129366053	NM_027363
2210407C18Rik	uc007jbw.2	1	-1.75736997195025	0.00525187754901591	9.27352986889263	9.86989557344473	8.78737312845937	8.19871018486051	7.65469409765833	6.92404453685932	chr11	58426939	58427177	-64	58421707	58426994	NM_144544
2810459M11Rik	uc011wog.1	1	-2.80470839519885	1.30062940057932e-12	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064	chr1	87936786	87937018	-5535	87942437	87952031	NM_001144992
2810459M11Rik	uc011wog.1	1	-2.80470839519885	1.30062940057932e-12	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064	chr1	87952912	87953095	10566	87942437	87952031	NM_001144993
2810459M11Rik	uc011wog.1	1	-2.80470839519885	1.30062940057932e-12	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064	chr1	87936786	87937018	-5535	87942437	87952031	NM_001144993
2810459M11Rik	uc011wog.1	1	-2.80470839519885	1.30062940057932e-12	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064	chr1	87952912	87953095	10566	87942437	87952031	NM_001144992
A4gnt	uc009rej.2	1	-3.46796483638441	3.5341931517203e-07	10.6447794840603	9.87700661441319	10.4610123659785	5.30138085768573	6.79884216837595	7.80265518043363	chr9	99509812	99510008	-3010	99512920	99522786	NM_001077424
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126904270	126904462	-70	126904436	126928405	NM_212442
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126904270	126904462	-70	126904436	126928403	NM_212441
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126913533	126913693	9177	126904436	126928410	NM_016870
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126904270	126904462	-70	126904436	126928410	NM_016870
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126913533	126913693	9177	126904436	126928405	NM_212442
Acsm3	uc009jlq.1	1	-1.17644841327614	0.0382495729845475	10.9597581526701	10.7456471038156	10.8073015177722	9.41406782600429	9.35533952944042	10.3177354168421	chr7	126913533	126913693	9177	126904436	126928403	NM_212441
Adamts15	uc009oqz.1	1	-2.50823411203462	0.00112951840705707	8.06283100750105	8.8747667628825	7.42323777057188	5.44087093725328	6.40024130921864	5.27211616840973	chr9	30657072	30657316	72843	30706739	30730037	NM_001024139
Ak4	uc008tvo.2	1	-2.00608809820238	0.0221967952259032	9.30052615414914	9.8186411765106	10.4563634822099	7.82191371857303	8.81555226932214	5.76829184890023	chr4	101065872	101066067	-26338	101092307	101140376	NM_009647
Ak4	uc008tvo.2	1	-2.00608809820238	0.0221967952259032	9.30052615414914	9.8186411765106	10.4563634822099	7.82191371857303	8.81555226932214	5.76829184890023	chr4	101065872	101066067	-25956	101091925	101140376	NM_001177604
Ak4	uc008tvo.2	1	-2.00608809820238	0.0221967952259032	9.30052615414914	9.8186411765106	10.4563634822099	7.82191371857303	8.81555226932214	5.76829184890023	chr4	101065872	101066067	-25947	101091916	101140376	NM_001177605
Ak4	uc008tvo.2	1	-2.00608809820238	0.0221967952259032	9.30052615414914	9.8186411765106	10.4563634822099	7.82191371857303	8.81555226932214	5.76829184890023	chr4	101065872	101066067	-25924	101091893	101140376	NM_001177602
Aldh1l1	uc009cxm.1	1	-2.10408590944068	0.00154572314370677	9.32704073900513	9.29005488846697	9.53486199532409	6.04570960505326	7.65469409765833	7.74665067637019	chr6	90464986	90465166	-35765	90500841	90549165	NM_027406
Alpi	uc007bwa.1	1	2.49521569579228	8.03585829898977e-06	11.1530530534372	10.4909571864118	10.8311433205325	13.3142193349997	13.7530108065603	12.3565337329779	chr1	88932293	88932466	65802	88994576	88998181	NM_001081082
Ang	uc007tmn.2	1	-1.61943940189989	7.87895626296798e-05	9.62569831161519	9.90592091326827	9.73426464512188	8.13858157191334	8.22907245226295	8.24263025701426	chr14	51715841	51716049	5194	51710751	51721684	NM_001161731
Ang	uc007tmn.2	1	-1.61943940189989	7.87895626296798e-05	9.62569831161519	9.90592091326827	9.73426464512188	8.13858157191334	8.22907245226295	8.24263025701426	chr14	51715841	51716049	271	51715674	51721684	NM_007447
Aqp4	uc008edr.2	1	-3.97126787418777	8.03585829898977e-06	11.0883299197232	10.0610779100565	13.3255241262574	7.49443103859005	7.25683786146099	8.98837684052477	chr18	15620355	15620566	-58267	15547902	15562193	NM_009700
Arhgap20	uc009plj.1	1	-1.74327738361199	0.000302178791059289	10.3056146630441	10.0766789126836	11.3966748734631	9.01013742413547	8.60425394287637	9.27880643621586	chr9	51558810	51559017	-14543	51573456	51661164	NM_175535
Atp2c2	uc009nqg.1	1	-1.63941295856036	0.0216828414034356	10.5666882676343	9.73337396142526	10.6807990690561	7.88161568112463	8.4371984667412	9.6319091282765	chr8	122239108	122239294	15293	122223908	122281618	NM_026922
Atp2c2	uc009nqg.1	1	-1.63941295856036	0.0216828414034356	10.5666882676343	9.73337396142526	10.6807990690561	7.88161568112463	8.4371984667412	9.6319091282765	chr8	122263494	122263707	39692	122223908	122281618	NM_026922
B3gnt6	uc009ikf.1	1	-2.41398163428465	0.00145511511412223	8.77293577129685	7.85760103619939	8.401831266478	5.30138085768573	6.18744928510092	6.25370163393591	chr7	105338329	105338520	9561	105340924	105347985	NM_001081167
B3gnt6	uc009ikf.1	1	-2.41398163428465	0.00145511511412223	8.77293577129685	7.85760103619939	8.401831266478	5.30138085768573	6.18744928510092	6.25370163393591	chr7	105350249	105350445	-2362	105340924	105347985	NM_001081167
Bace2	uc008ade.2	1	-1.53876206548942	0.00158297650766865	10.9893833395174	10.243187452988	10.7166555927709	8.79884767250799	9.06111426599132	9.69720290614139	chr16	97619598	97619837	41383	97578334	97660619	NM_019517
Bace2	uc008ade.2	1	-1.53876206548942	0.00158297650766865	10.9893833395174	10.243187452988	10.7166555927709	8.79884767250799	9.06111426599132	9.69720290614139	chr16	97621514	97621847	43346	97578334	97660619	NM_019517
Bace2	uc008ade.2	1	-1.53876206548942	0.00158297650766865	10.9893833395174	10.243187452988	10.7166555927709	8.79884767250799	9.06111426599132	9.69720290614139	chr16	97623447	97623662	45220	97578334	97660619	NM_019517
BB123696	uc011yzk.1	1	-3.04247445498764	0.00958435042604154	6.84424477504545	6.04570960505326	4.32290890342783	3.24459624169163	3.02633981704522	2.10759566861063	chr13	52945540	52945703	-93047	52824738	52852574	NR_027893
Capn8	uc011wxv.1	1	-3.08421168039424	0.00175217641878941	7.55483783303698	6.89309650786622	8.49093958723871	3.51416790265092	4.78522013998897	4.95228491693179	chr1	184504939	184505142	9903	184495137	184536657	NM_001145806
Capn8	uc011wxv.1	1	-3.08421168039424	0.00175217641878941	7.55483783303698	6.89309650786622	8.49093958723871	3.51416790265092	4.78522013998897	4.95228491693179	chr1	184504939	184505142	9903	184495137	184562483	NM_130890
Car2	uc008oqt.2	1	-3.04933979853987	2.98978235966111e-10	14.8706818016695	14.6366012889142	14.545903278476	10.9783308443613	11.2563521193326	12.7393150878369	chr3	14890627	14890856	4316	14886425	14900770	NM_009801
Car8	uc008rxv.1	1	-2.58635396817764	2.0948326429839e-10	11.8223747329671	11.3081216575469	12.4377351097509	8.97912159893357	9.22786177650627	9.8516696512787	chr4	8172921	8173093	-6819	8068639	8166188	NM_007592
Car8	uc008rxv.1	1	-2.58635396817764	2.0948326429839e-10	11.8223747329671	11.3081216575469	12.4377351097509	8.97912159893357	9.22786177650627	9.8516696512787	chr4	8220879	8221127	-54815	8068639	8166188	NM_007592
Cck	uc009sdg.2	1	3.22119066498504	1.44863148166288e-06	5.73910694770224	4.64673931447381	4.02007525544666	8.08608891710387	8.00613247983864	7.84285884443089	chr9	121365344	121365548	39361	121398941	121404807	NM_031161
Cck	uc009sdg.2	1	3.22119066498504	1.44863148166288e-06	5.73910694770224	4.64673931447381	4.02007525544666	8.08608891710387	8.00613247983864	7.84285884443089	chr9	121331693	121331972	72975	121398941	121404807	NM_031161
Ccl25	uc009ktw.2	1	2.44804338900958	0.00502339566519498	6.60145324331304	7.43421430602569	8.88476760073534	10.5757116680015	10.5598781453479	9.15987731816033	chr8	4384128	4384316	34635	4349587	4360020	NM_009138
Ccl6	uc007kpm.1	1	-1.92768399263442	2.29601958454692e-05	13.3679142177241	12.8209913373129	13.2729626009398	10.8294779454393	11.0154441077426	12.1301494536598	chr11	83412505	83412678	-6002	83401387	83406589	NM_009139
Cd177	uc009fql.1	1	-1.54849598440124	0.0168712458191818	12.3926235894207	11.267624413701	12.16079737792	10.1046431009212	11.0697881967727	10.1967186337115	chr7	25547634	25547817	-2395	25529001	25545330	NM_026862
Chga	uc007oui.1	1	-2.86746121387042	1.56165727978364e-12	12.2053762874372	11.8128422739467	11.6259396912251	8.98804404561451	9.47935057234703	8.99462126801869	chr12	103864099	103864303	71023	103793178	103803237	NM_007693
Cyp2s1	uc009fua.1	1	-1.20378549494875	0.00512019014239245	11.4794222630856	11.5309688174027	12.0009919807749	10.525246017542	10.4719775207538	10.534501448601	chr7	26611069	26611297	-9634	26587494	26601549	NM_028775
Cyp2s1	uc009fua.1	1	-1.20378549494875	0.00512019014239245	11.4794222630856	11.5309688174027	12.0009919807749	10.525246017542	10.4719775207538	10.534501448601	chr7	26601718	26601923	-271	26587494	26601549	NM_028775
Cyp4b1	uc008ufc.1	1	-2.48582207873636	2.0948326429839e-10	12.5115329185956	12.7503218231082	12.2440397908773	9.90493759232571	10.2487496982573	10.3057206488723	chr4	115331934	115332171	-11742	115297332	115320310	NM_007823
Ephx4	uc008yme.1	1	-2.82613070308151	0.00171971240445309	7.56536905643806	6.72824284725142	6.49016857218208	3.51416790265092	4.55025157762443	3.9758349975705	chr5	107839052	107839254	6622	107832531	107859050	NM_001001804
Ereg	uc008ybs.1	1	2.70062388302022	4.59394485947938e-07	7.04394424518543	6.70555757665633	6.56325283803426	9.63105199150867	9.68302145546271	8.38921696202148	chr5	91527375	91527586	23838	91503642	91522675	NM_007950
Ethe1	uc009fqb.1	1	-1.42749945937122	0.0105215601072574	13.8375150687331	13.8806146404691	13.2128811593794	12.4509516164056	12.134995242261	12.4694643459516	chr7	25380300	25380500	7839	25372561	25393944	NM_023154
Fabp7	uc007fct.1	1	3.76712280662865	0.00202810011920228	0	2.62717530235616	1.07864367792527	6.34583938779155	5.8106687836741	3.78246804028786	chr10	57482920	57483186	-21675	57504728	57508256	NM_021272
Fam55b	uc009phw.2	1	-5.17606725621146	1.75133676470167e-10	11.158887007387	8.41862410716752	11.6345601302709	5.60485226579895	5.31700356140751	6.14763445469229	chr9	48138881	48139044	10019	48126086	48148981	NM_030069
Fam83e	uc009gwy.1	1	-1.22296826171727	0.0112460004759957	12.9324935919606	13.0630642068339	12.8239123234347	11.7688988653756	11.5699314042495	12.0678986891049	chr7	52976433	52976593	-76	52976589	52984862	NM_001033170
Fam83e	uc009gwy.1	1	-1.22296826171727	0.0112460004759957	12.9324935919606	13.0630642068339	12.8239123234347	11.7688988653756	11.5699314042495	12.0678986891049	chr7	52983075	52983302	6599	52976589	52984862	NM_001033170
Far1	uc009jhp.1	1	-1.10612744963538	0.0282498421308087	12.2407947407726	11.9423052505136	12.2842097777472	10.984761856591	10.8287688344087	11.5514838732756	chr7	120646037	120646256	-11229	120657375	120713972	NM_027379
Far1	uc009jhp.1	1	-1.10612744963538	0.0282498421308087	12.2407947407726	11.9423052505136	12.2842097777472	10.984761856591	10.8287688344087	11.5514838732756	chr7	120646037	120646256	-11229	120657375	120713972	NM_026143
Ffar2	uc009ggn.1	1	-1.34376792934544	0.0193600724542353	9.0367004454362	9.00457065358897	9.46265514844735	7.71450153461545	8.16001656668695	7.66199930541523	chr7	31589100	31589295	16961	31603375	31606158	NM_001168511
Ffar2	uc009ggn.1	1	-1.34376792934544	0.0193600724542353	9.0367004454362	9.00457065358897	9.46265514844735	7.71450153461545	8.16001656668695	7.66199930541523	chr7	31589100	31589295	19597	31603375	31608794	NM_146187
