rs17391694	NA
rs6679677	PTPN22
rs6679677	DCLRE1B
rs3897478	ADAM30
rs9286879	FASLG
rs9286879	TNFSF18
rs1728918	UCN
rs10865331	NA
rs6716753	SP140
rs12994997	ATG16L1
rs12994997	 INPP5D
rs6837335	TXK
rs6837335	TEC
rs6837335	SLC10A4
rs13126505	NA
rs10065637	IL6ST
rs10065637	IL31RA
rs7702331	NA
rs17695092	CPEB4
rs12663356	NA
rs9264942	HLA-C
rs9264942	PSORS1C1
rs9264942	NFKBIL1
rs9264942	MICB
rs9491697	NA
rs13204742	NA
rs212388	TAGAP
rs10486483	NA
rs864745	CREB5
rs864745	JAZF1
rs7015630	RIPK2
rs6651252	NA
rs3764147	LACC1
rs16967103	RASGRP1
rs16967103	SPRED1
rs2066847	NOD2
rs2066847	ADCY7
rs2945412	LGALS9
rs2945412	NOS2
rs2024092	GPX4
rs2024092	HMHA1
rs4802307	NA
rs516246	DBP
rs516246	SPHK2
rs516246	IZUMO1
rs516246	FUT2
rs2284553	IFNGR2
rs2284553	IFNAR1
rs2284553	IFNAR2
rs2284553	IL10RB
rs2284553	GART
rs2284553	TMEM50B
rs10797432	TNFRSF14
rs10797432	MMEL1
rs10797432	PLCH2
rs6426833	NA
rs2816958	NA
rs1016883	RFTN2
rs1016883	PLCL1
rs17229285	NA
rs9847710	PRKCD
rs9847710	ITIH4
rs3774959	NFKB1
rs3774959	MANBA
rs11739663	SLC9A3
rs254560	NA
rs6927022	HLA-DQB1
rs6927022	HLA-DRB1
rs6927022	HLA-DQA1
rs6927022	HLA-DRA
rs798502	CARD11
rs798502	GNA12
rs798502	TTYH3
rs4722672	NA
rs4380874	DLD
rs4728142	IRF5
rs4728142	TNPO3
rs4728142	TSPAN33
rs483905	JRKL
rs483905	MAML2
rs561722	FAM55A
rs561722	FAM55D
rs28374715	ITPKA
rs28374715	NDUFAF1
rs28374715	NUSAP1
rs11150589	ITGAL
rs1728785	ZFP90
rs7210086	NA
rs1126510	CALM3
rs6088765	PROCR
rs6088765	UQCC
rs6088765	CEP250
rs6017342	ADA
rs6017342	HNF4A
rs12103	TNFRSF18
rs12103	TNFRSF4
rs35675666	TNFRSF9
rs12568930	NA
rs11209026	IL23R
rs11209026	IL12RB2
rs2651244	NA
rs4845604	RORC
rs670523	UBQLN4
rs670523	RIT1
rs670523	MSTO1
rs4656958	CD48
rs4656958	SLAMF1
rs4656958	ITLN1
rs4656958	CD244
rs4656958	F11R
rs4656958	USF1
rs4656958	SLAMF7
rs4656958	ARHGAP30
rs1801274	FCGR2A
rs1801274	FCGR2B
rs1801274	FCGR3A
rs1801274	HSPA6
rs1801274	FCGR3B
rs1801274	FCRLA
rs2488389	C1orf53
rs7554511	KIF21B
rs3024505	IL10
rs3024505	IL20
rs3024505	IL19
rs3024505	IL24
rs3024505	PIGR
rs3024505	MAPKAPK2
rs3024505	FAIM3
rs3024505	RASSF5
rs6545800	ADCY3
rs925255	FOSL2
rs925255	BRE
rs10495903	NA
rs7608910	REL
rs7608910	C2orf74
rs7608910	KIAA1841
rs7608910	AHSA2
rs6740462	SPRED2
rs917997	IL1R2
rs917997	IL18RAP
rs917997	IL18R1
rs917997	IL1R1
rs917997	IL1RL1
rs917997	IL1RL2
rs2111485	IFIH1
rs1517352	STAT1
rs1517352	STAT4
rs2382817	SLC11A1
rs2382817	CXCR2
rs2382817	CXCR1
rs2382817	PNKD
rs2382817	ARPC2
rs2382817	TMBIM1
rs2382817	CTDSP1
rs3749171	GPR35
rs4256159	NA
rs3197999	MST1
rs3197999	PFKFB4
rs3197999	MST1R
rs3197999	UCN2
rs3197999	GPX1
rs3197999	IP6K2
rs3197999	BSN
rs3197999	IP6K1
rs3197999	USP4
rs2472649	CXCL5
